"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2009-026","2009-026-01","2009-026-01-01","2009-026-01-01-01",2/22/2010,2,"559 U.S. 34","130 S. Ct. 1175","175 L. Ed. 2d 995","2010 U.S. LEXIS 1036",2009,1703,"Roberts","08-10914","JAMEY L. WILKINS v. OFFICER GADDY",,,215,,19,38,1,,,0,100,,24,,0,12,2,1,1,4,0,1,0,0,20400,2,2,0,4,,3,314,"NA",,111,1,9,0
"2009-027","2009-027-01","2009-027-01-01","2009-027-01-01-01",3/2/2010,1,"559 U.S. 175","130 S. Ct. 1251","176 L. Ed. 2d 36","2010 U.S. LEXIS 2203",2009,1703,"Roberts","08-240","MAC'S SHELL SERVICE, INC., et al. v. SHELL OIL PRODUCTS CO. LLC et al.",1/19/2010,,161,,160,,1,,,0,80,,21,,0,12,6,2,1,7,0,0,0,0,80010,8,1,0,4,,6,600,"15-2802",112,111,1,9,0
"2009-028","2009-028-01","2009-028-01-01","2009-028-01-01-01",3/2/2010,1,"559 U.S. 154","130 S. Ct. 1237","176 L. Ed. 2d 18","2010 U.S. LEXIS 2202",2009,1703,"Roberts","08-103","REED ELSEVIER, INC., et al., v. IRVIN MUCHNICK et al.",10/7/2009,,220,,112,,1,,,0,96,,22,,1,11,5,1,1,4,0,1,0,0,80190,8,1,0,4,,6,600,"17-411",108,111,1,8,0
"2009-029","2009-029-01","2009-029-01-01","2009-029-01-01-01",3/2/2010,1,"559 U.S. 133","130 S. Ct. 1265","176 L. Ed. 2d 1","2010 U.S. LEXIS 2201",2009,1703,"Roberts","08-6925","CURTIS DARNELL JOHNSON v. UNITED STATES",10/6/2009,,137,,27,,1,,,0,56,,31,,0,12,2,1,1,4,0,1,0,0,10380,1,2,0,4,,6,600,"18-924",105,111,1,7,2
"2009-030","2009-030-01","2009-030-01-01","2009-030-01-01-01",3/1/2010,2,"559 U.S. 131","130 S. Ct. 1235","175 L. Ed. 2d 1070","2010 U.S. LEXIS 1902",2009,1703,"Roberts","08-1234","JAMAL KIYEMBA et al. v. BARACK H. OBAMA, PRESIDENT OF THE UNITED STATES et al.",,,215,,27,,1,,,0,55,,32,,0,12,2,1,1,5,0,1,0,0,90190,9,2,0,3,,9,900,"NA",,111,1,9,0
"2009-031","2009-031-01","2009-031-01-01","2009-031-01-01-01",3/8/2010,1,"559 U.S. 229","130 S. Ct. 1324","176 L. Ed. 2d 79","2010 U.S. LEXIS 2206",2009,1703,"Roberts","08-1119","MILAVETZ, GALLOP & MILAVETZ, P. A., et al. v. UNITED STATES",12/1/2009,,111,,27,,1,,,0,83,,28,,1,3,6,2,1,7,0,1,0,0,60020,6,2,0,4,,3,307,"NA",113,111,1,9,0
"2009-032","2009-032-01","2009-032-01-01","2009-032-01-01-01",3/8/2010,1,"559 U.S. 196","130 S. Ct. 1345","176 L. Ed. 2d 54","2010 U.S. LEXIS 2205",2009,1703,"Roberts","08-728","TAYLOR JAMES BLOATE v. UNITED STATES",10/6/2009,,137,,27,,1,,,0,86,,28,,0,2,2,1,1,3,0,1,0,0,10590,1,2,0,4,,6,600,"18-3161",108,111,1,7,2
"2009-033","2009-033-01","2009-033-01-01","2009-033-01-01-01",3/31/2010,1,"559 U.S. 393","130 S. Ct. 1431","176 L. Ed. 2d 311","2010 U.S. LEXIS 2929",2009,1703,"Roberts","08-1008","SHADY GROVE ORTHOPEDIC ASSOCIATES, P. A. v. ALLSTATE INSURANCE COMPANY",11/2/2009,,206,,171,,1,,,0,94,,22,,0,12,2,1,1,4,0,1,0,0,90110,9,2,0,4,,4,400,"NA",105,111,1,5,4
"2009-034","2009-034-01","2009-034-01-01","2009-034-01-01-01",3/31/2010,1,"559 U.S. 356","130 S. Ct. 1473","176 L. Ed. 2d 284","2010 U.S. LEXIS 2928",2009,1703,"Roberts","08-651","JOSE PADILLA v. KENTUCKY",10/13/2009,,106,,28,21,1,,,0,302,21,300,21,0,11,9,1,1,4,0,1,0,0,10120,1,2,0,2,,2,214,"NA",103,111,1,7,2
"2009-035","2009-035-01","2009-035-01-01","2009-035-01-01-01",3/30/2010,1,"559 U.S. 335","130 S. Ct. 1418","176 L. Ed. 2d 265","2010 U.S. LEXIS 2926",2009,1703,"Roberts","08-586","JERRY N. JONES, et al. v. HARRIS ASSOCIATES L. P.",11/2/2009,,173,,119,,1,,,0,66,,27,,1,2,2,1,1,5,0,1,0,0,80120,8,1,0,4,7,6,600,"15-80",112,111,1,9,0
